temperature,rainfall,humidity
42.85,290.1,39.41
27.85,48.02,62.06
44.0,236.2,38.68
43.91,295.25,84.64
40.59,5.97,50.96
23.83,209.71,86.7
26.55,75.87,50.53
40.53,12.15,85.93
24.51,120.87,46.67
20.08,280.57,55.21
31.7,3.53,69.24
43.08,176.37,25.62
35.88,150.42,95.86
32.1,262.02,65.89
17.92,25.2,60.63
33.45,204.46,87.15
44.7,204.03,89.26
19.2,200.72,61.78
30.55,282.7,94.18
41.32,246.93,25.18
37.22,12.59,29.06
35.91,141.32,67.74
36.07,119.39,48.33
25.78,93.04,57.14
23.81,135.4,46.25
39.28,115.26,52.38
39.3,129.7,85.81
41.01,293.78,67.48
42.4,26.59,99.79
30.34,276.67,82.95
30.05,144.07,41.89
38.95,187.12,41.15
34.5,249.05,46.87
36.06,108.14,87.46
38.87,129.13,22.18
41.7,122.86,38.41
25.14,112.42,92.39
26.27,277.66,71.19
17.82,248.68,38.15
32.35,32.7,37.53
16.08,32.44,89.01
28.97,128.36,91.5
31.28,29.6,40.49
23.6,185.73,53.64
32.72,43.11,86.77
15.92,156.71,81.68
16.12,2.17,85.11
39.68,94.98,61.47
25.81,203.16,92.92
18.81,145.21,46.08
30.67,293.48,32.53
38.1,262.23,76.7
21.47,107.72,63.15
33.69,13.65,88.37
17.56,253.69,26.49
16.55,273.37,87.5
30.94,246.19,43.46
31.22,38.38,72.39
34.12,299.37,23.21
36.78,77.58,68.77
44.28,217.26,77.38
30.49,272.41,49.5
24.69,70.71,37.23
38.86,272.48,63.01
23.12,92.84,86.66
28.17,292.92,45.88
17.35,84.38,40.2
15.76,286.03,42.31
43.88,16.06,95.93
40.08,212.78,48.74
35.88,159.63,20.29
27.27,143.36,82.53
20.2,67.05,75.94
19.69,211.68,30.29
22.51,57.24,98.79
31.48,165.85,68.64
36.44,75.97,60.06
34.81,286.69,50.58
23.4,8.59,91.89
43.65,59.92,39.52
37.14,72.69,42.86
31.63,124.22,29.79
33.35,69.82,80.73
27.59,147.4,67.64
22.43,261.74,68.73
25.68,213.62,37.48
37.74,173.99,72.09
15.43,26.7,81.24
18.48,208.2,48.63
16.38,49.92,84.11
16.22,235.91,47.9
40.66,75.02,80.65
36.11,125.11,22.7
29.23,105.14,64.09
17.94,257.64,97.56
29.75,37.96,98.5
29.2,169.69,42.54
20.2,42.62,55.31
28.02,211.44,25.04
26.96,271.52,89.87
33.48,130.38,65.49
34.05,146.43,50.81
16.36,278.23,29.02
26.24,156.3,95.74
33.78,146.28,62.42
30.09,173.5,42.63
40.69,206.77,48.02
34.76,32.07,41.66
19.89,246.33,68.14
17.12,130.65,94.4
34.27,21.7,88.54
15.8,235.85,56.83
32.57,113.08,86.12
43.21,30.11,53.85
32.26,190.13,40.18
26.65,264.04,98.67
34.3,266.33,44.31
28.75,287.3,45.9
31.37,260.31,99.18
43.24,0.64,30.71
26.58,114.07,80.84
43.84,245.56,94.87
42.16,109.88,60.94
20.87,180.46,20.2
17.08,181.9,50.0
18.02,109.51,28.93
15.55,271.34,53.3
17.83,150.97,83.2
35.49,139.44,55.1
17.14,299.25,54.55
24.57,148.05,64.54
40.35,53.52,66.54
15.7,153.92,88.5
39.43,244.21,44.67
23.46,233.06,85.73
18.54,236.57,65.27
35.9,212.41,44.04
33.87,76.27,43.61
41.32,258.63,48.89
37.05,268.03,69.82
39.1,58.25,38.46
23.46,39.14,93.63
20.32,292.68,65.99
37.52,260.5,93.6
39.21,267.97,23.71
44.72,265.91,47.41
27.38,162.51,21.82
26.16,193.92,41.78
38.29,163.61,88.96
25.22,15.36,22.93
42.92,223.65,54.89
40.75,151.6,29.41
27.87,194.31,53.35
37.53,150.79,87.11
37.64,147.54,69.85
18.09,51.54,78.94
42.08,83.61,47.93
30.16,47.66,95.55
39.79,58.7,76.74
24.6,291.89,53.74
41.87,45.93,54.12
26.68,80.78,93.49
15.33,177.18,66.11
42.16,183.05,76.51
17.74,46.19,53.36
24.58,238.12,37.9
43.5,235.56,77.88
43.52,71.2,68.63
32.2,86.6,60.11
33.96,281.4,69.92
28.45,247.7,36.66
23.8,209.34,83.52
24.86,24.67,95.85
35.18,125.48,91.29
37.57,167.79,45.71
38.75,56.22,52.48
38.69,134.47,84.67
17.74,180.31,67.61
29.83,98.21,63.83
16.73,234.28,94.13
31.49,252.13,62.88
28.25,97.08,61.2
41.63,251.6,23.36
25.53,31.07,25.55
18.51,251.32,20.59
19.29,45.83,93.06
37.85,24.88,52.67
33.55,192.53,57.48
18.03,141.58,87.63
17.52,272.37,68.74
36.03,108.96,68.76
17.18,86.15,43.72
39.66,150.22,86.71
36.19,136.78,33.27
17.44,103.33,24.25
17.55,208.12,35.33
44.6,227.87,41.42
26.23,255.9,42.58
26.12,291.86,73.64
39.38,80.0,37.43
43.42,214.83,74.13
44.58,118.28,27.29
37.6,203.12,31.78
26.29,142.79,60.71
17.51,298.13,93.75
38.31,218.67,88.77
31.75,285.75,97.5
27.73,250.49,72.04
42.19,270.87,74.07
18.34,244.33,70.0
29.78,137.75,69.83
15.34,75.54,31.77
29.06,111.1,63.5
16.69,6.07,50.89
18.56,157.2,55.4
18.53,151.52,61.89
34.48,157.58,30.27
37.38,292.21,48.76
32.5,273.44,25.08
43.87,48.51,98.37
26.25,110.66,29.48
23.57,127.19,40.68
41.06,108.16,91.3
21.71,239.55,58.62
43.9,157.21,30.85
15.36,171.63,50.74
44.1,255.9,29.27
16.29,241.78,36.02
41.73,39.66,24.16
30.83,214.17,55.06
44.79,130.63,84.53
17.21,88.39,66.88
31.62,15.01,68.51
44.08,146.17,36.05
30.69,106.63,47.51
33.88,75.45,87.62
35.87,208.4,27.03
28.64,230.85,88.63
33.83,73.44,58.7
32.53,14.83,86.97
42.03,254.63,45.44
16.36,2.99,47.11
23.43,281.13,80.13
43.51,188.29,82.8
41.71,96.55,38.37
28.67,73.94,97.83
33.6,2.7,26.76
23.32,70.64,25.48
20.64,41.32,67.64
28.91,183.65,77.82
25.6,49.96,96.87
32.51,158.59,52.4
17.33,177.03,22.02
44.23,89.41,68.23
44.59,10.52,43.18
35.94,11.18,54.64
31.08,7.9,59.08
24.29,221.74,25.16
39.41,95.4,58.88
35.54,238.89,54.11
19.88,129.52,77.0
42.33,135.9,71.65
39.68,153.86,34.82
43.49,213.91,36.49
36.77,82.05,40.08
33.4,36.48,34.32
27.55,166.82,72.58
42.98,98.09,99.55
40.98,132.75,72.17
16.36,194.08,68.53
15.79,148.24,52.79
26.29,186.08,45.01
39.32,163.26,92.89
44.62,221.94,97.52
19.51,211.78,59.74
32.82,160.26,43.22
26.43,203.67,81.61
44.1,262.07,30.6
40.26,129.68,81.25
40.15,123.83,85.52
29.06,229.27,29.99
27.44,174.77,98.15
23.2,21.3,98.84
16.69,267.63,94.94
40.94,9.23,59.68
39.39,224.52,39.69
44.99,227.64,66.56
44.9,285.93,53.59
31.66,16.24,36.48
38.07,179.06,53.89
43.34,128.35,73.11
40.49,99.19,25.67
22.42,27.1,46.67
28.52,168.8,21.42
18.87,143.71,79.96
43.62,31.37,71.26
33.19,183.75,25.01
21.86,221.39,97.18
35.15,230.18,21.81
33.54,271.61,67.2
25.74,122.84,82.11
18.41,285.92,83.03
35.15,259.63,22.74
30.61,88.95,92.51
38.17,47.78,93.48
30.6,130.62,64.91
40.57,120.57,58.57
31.56,172.72,23.59
31.83,175.02,64.96
41.3,225.0,52.75
27.1,152.97,81.82
19.02,31.45,52.31
15.86,257.49,74.69
37.65,92.93,28.11
33.61,291.39,30.64
36.12,35.36,31.18
21.39,287.48,23.64
19.09,27.3,63.31
15.44,69.31,83.52
25.52,13.97,68.83
32.7,211.53,66.0
26.77,255.09,74.45
28.12,130.22,47.17
42.12,278.56,48.96
25.45,177.09,45.14
30.42,189.0,76.97
38.51,253.63,32.93
26.9,89.04,21.04
33.66,106.28,67.7
40.87,271.79,95.39
43.49,270.29,68.75
19.41,292.94,82.63
42.8,270.55,73.82
29.76,38.21,59.79
22.75,247.12,77.47
28.77,122.95,85.93
44.4,297.24,37.98
29.78,141.68,46.89
24.86,166.15,37.9
34.0,158.93,56.17
22.2,96.52,90.81
17.28,22.51,47.62
18.87,268.7,49.96
18.84,240.8,88.83
19.56,41.86,61.23
19.16,233.03,62.84
34.23,187.75,88.86
20.46,122.74,59.24
25.37,76.21,74.52
41.9,257.92,26.85
29.22,210.06,34.29
35.03,164.32,52.35
20.17,182.87,59.59
20.77,27.32,97.26
16.23,142.18,97.65
20.07,58.11,88.1
23.36,62.52,45.25
20.31,198.39,97.12
17.66,273.38,75.15
18.62,121.13,51.44
28.82,62.32,76.13
21.19,194.62,21.32
25.93,261.36,31.69
30.1,224.5,86.37
35.71,260.63,71.65
16.18,160.97,49.14
38.98,225.56,60.05
33.84,42.02,92.41
17.45,104.48,70.53
41.21,116.86,51.85
42.63,153.39,29.63
16.83,278.72,43.5
23.31,262.29,98.27
39.19,40.36,54.99
37.45,51.84,57.75
20.54,107.29,59.89
21.28,87.22,90.73
26.11,184.43,68.31
29.54,270.83,75.49
33.55,288.69,51.15
26.07,196.08,22.33
28.88,251.45,94.48
37.42,157.56,95.93
16.1,62.5,95.93
22.57,157.41,95.49
36.4,166.52,85.22
41.86,222.74,74.77
30.35,65.96,87.56
30.96,110.49,68.04
18.22,109.21,30.75
28.42,287.83,51.3
30.98,133.18,97.7
22.27,226.53,48.09
23.08,225.24,89.43
26.32,79.66,27.46
15.6,171.56,46.73
24.66,268.29,48.08
21.34,142.56,24.13
24.82,283.54,29.53
18.59,64.34,35.45
41.72,22.25,87.03
32.81,267.44,25.07
35.37,254.3,43.9
38.68,297.78,20.81
29.95,203.82,75.65
17.61,281.01,69.62
31.11,248.08,71.6
32.61,253.33,49.95
37.36,170.74,36.66
27.95,114.71,77.63
18.83,280.37,84.89
23.51,129.64,31.09
25.89,161.65,58.95
34.38,133.83,39.9
32.12,169.45,33.45
25.68,141.15,78.75
44.6,14.39,63.05
33.17,264.61,37.29
22.12,133.32,44.8
18.05,176.68,97.33
19.59,41.76,87.89
22.38,1.02,90.4
19.82,73.59,56.8
20.6,211.38,69.9
23.55,29.76,50.14
20.2,272.67,26.22
41.9,64.51,52.09
17.41,61.38,67.52
30.74,54.45,42.97
27.31,4.19,87.84
44.47,231.54,32.09
18.36,262.51,49.37
26.94,184.25,29.99
44.08,56.46,52.39
40.97,85.58,23.17
39.51,142.78,41.8
22.74,286.3,52.06
20.13,74.21,58.25
35.06,219.49,63.5
42.88,131.83,42.0
31.7,89.35,61.84
32.15,136.77,60.72
23.4,21.36,45.29
38.08,239.61,86.42
20.61,72.99,63.65
24.71,217.62,46.58
27.76,20.5,95.79
30.23,286.53,87.61
22.27,57.9,98.61
18.45,264.82,75.38
33.32,242.84,50.26
23.66,290.36,42.47
32.44,143.37,73.07
19.63,218.22,98.47
29.43,111.21,70.14
30.98,55.31,90.53
16.55,132.92,46.33
25.1,49.72,52.56
19.03,294.61,92.5
16.9,28.87,80.55
44.7,176.76,98.51
24.67,187.94,81.98
39.3,161.42,55.88
22.64,198.66,62.49
35.45,34.85,92.04
37.81,166.51,64.13
32.87,86.16,40.43
29.15,282.05,54.85
27.36,228.62,61.31
25.47,291.75,27.74
42.89,11.27,79.5
39.92,85.54,28.75
43.95,58.63,52.39
18.73,3.35,84.37
36.93,72.7,57.41
43.15,203.63,87.36
20.44,69.33,47.35
16.99,152.7,96.61
37.23,266.35,36.76
32.23,208.13,23.06
40.25,118.39,89.79
19.19,111.74,80.18
38.86,136.72,38.56
21.05,53.11,98.78
19.91,190.2,60.18
19.93,109.25,96.09
39.44,255.71,60.4
34.96,226.97,57.75
30.69,183.15,55.93
25.76,109.26,46.79
41.32,62.98,62.7
26.77,232.85,56.2
39.5,145.92,22.94
28.17,67.43,40.83
26.31,58.55,37.05
28.88,49.62,89.39
24.04,233.15,67.91
37.43,68.7,81.09
30.08,157.99,96.55
21.97,135.46,71.52
41.99,173.88,98.61
26.52,263.15,44.94
31.31,260.32,34.9
42.19,135.32,52.26
33.73,4.61,57.66
18.51,127.93,91.63
43.19,181.86,64.8
33.83,167.33,43.37
25.05,195.4,79.41
19.18,46.22,60.47
38.82,193.96,32.97
33.6,54.8,66.15
31.0,225.16,92.91
41.82,101.73,87.41
38.66,212.97,66.94
19.55,14.36,50.17
24.35,122.36,26.96
22.45,211.51,57.57
37.32,68.06,80.17
16.01,238.59,48.82
32.1,189.23,38.84
37.87,176.27,94.51
41.3,106.06,85.72
25.26,144.74,71.06
39.64,179.2,30.94
18.32,141.74,31.59
40.39,209.49,28.26
18.82,130.11,69.3
26.92,60.68,29.25
38.92,64.18,87.41
19.5,1.74,99.44
21.88,90.29,49.31
36.67,224.68,56.29
36.6,238.25,76.93
34.23,60.74,94.97
35.82,287.71,91.53
31.28,150.72,24.61
22.55,275.09,33.53
25.37,212.03,80.37
20.45,216.73,75.11
42.25,25.51,30.66
32.5,66.0,60.17
27.03,2.64,82.47
28.86,214.84,37.5
43.42,103.33,89.7
19.6,236.0,24.24
32.59,101.68,82.58
30.18,245.8,69.27
33.34,39.21,45.22
15.54,52.01,77.67
41.16,102.26,82.59
42.96,122.55,94.71
31.95,104.61,49.42
35.9,229.09,74.88
42.67,29.09,68.21
36.22,105.37,62.02
19.58,251.17,91.23
32.29,20.04,20.25
33.2,282.7,42.57
27.72,295.9,63.06
37.09,26.57,34.26
43.03,87.38,92.63
42.77,111.72,71.81
28.53,232.92,58.23
18.4,178.78,85.18
44.55,193.31,56.07
40.17,227.25,64.69
18.74,35.39,20.22
42.63,249.96,49.26
41.1,211.69,31.1
30.57,173.2,75.18
32.74,266.92,58.32
26.97,210.09,44.14
16.64,60.51,57.43
25.06,128.92,36.77
39.09,148.21,94.01
15.14,16.57,24.32
25.0,286.39,89.23
26.95,38.57,60.91
31.12,209.24,69.52
42.6,151.87,44.21
25.39,7.69,97.34
25.41,277.42,42.55
37.13,255.55,67.11
28.57,157.28,99.47
21.74,68.68,90.49
28.57,36.49,62.91
19.23,109.02,99.23
20.29,76.63,76.11
29.95,152.01,36.7
27.57,289.92,52.45
42.45,172.49,46.76
25.87,266.98,47.52
32.42,195.26,80.84
33.97,142.57,66.74
15.39,256.38,23.05
34.91,141.41,90.2
20.34,260.59,43.74
43.83,87.47,99.77
19.46,38.64,96.34
27.44,256.59,95.24
17.56,176.22,84.89
44.91,266.73,37.65
30.07,281.35,62.61
32.86,16.09,37.94
17.01,150.29,40.77
37.5,112.49,68.88
21.3,187.76,23.27
41.94,238.08,97.56
21.15,84.18,93.49
20.72,167.04,50.46
16.1,212.62,61.23
29.16,40.33,57.29
31.95,244.22,90.58
16.97,181.83,75.09
38.27,284.86,42.25
28.6,101.86,55.75
30.73,32.44,54.32
28.22,151.95,96.75
27.02,25.74,34.02
31.79,290.86,27.17
19.66,11.61,90.45
20.46,226.05,91.73
40.85,157.53,89.74
43.38,110.59,60.88
26.2,19.75,72.78
23.12,186.65,65.07
34.32,175.57,25.56
27.26,84.26,67.67
15.76,273.07,21.09
19.68,91.23,46.0
36.48,134.92,94.58
34.77,163.13,44.32
15.81,30.07,95.19
21.66,279.65,40.01
21.93,112.36,45.16
35.16,24.23,70.27
15.59,116.19,80.93
18.12,180.06,60.11
39.0,154.1,90.57
20.36,208.36,23.22
34.58,16.65,93.78
22.15,85.36,35.7
17.98,245.77,90.74
22.3,23.97,52.07
36.67,256.65,86.62
40.67,27.57,73.73
39.91,250.34,34.08
26.92,108.24,93.44
35.04,183.66,39.64
21.15,45.87,39.53
23.79,19.85,85.13
41.89,64.78,28.47
15.39,38.36,37.76
17.57,93.72,60.29
21.24,154.31,86.44
15.8,176.63,31.8
20.44,236.96,63.81
32.49,196.87,76.9
27.64,182.63,88.85
41.78,123.53,94.85
39.52,142.14,82.77
25.25,124.36,72.23
22.78,252.65,54.69
26.39,69.0,28.97
32.71,1.72,76.78
23.04,195.4,99.42
33.72,60.74,78.94
27.28,267.03,21.34
31.56,257.71,59.7
28.08,23.02,69.17
23.83,31.92,75.17
43.45,148.55,77.58
37.91,182.77,64.65
19.2,82.47,37.87
41.05,215.04,95.38
29.62,178.47,75.73
41.84,97.45,38.95
39.0,7.61,45.79
27.76,225.05,93.75
15.67,64.43,91.0
23.06,250.34,52.41
31.25,126.09,23.06
34.0,173.12,23.88
22.74,261.88,42.71
19.18,259.09,70.33
40.05,111.46,66.74
44.53,62.67,70.71
30.77,232.54,77.38
20.15,129.92,21.52
23.17,57.61,28.41
15.55,271.33,48.76
42.43,59.43,32.39
18.53,7.74,26.03
32.3,6.08,71.28
23.22,186.69,85.23
31.63,198.5,80.21
34.54,93.31,85.36
39.89,96.0,73.27
21.19,101.85,78.83
15.33,204.05,41.74
19.11,17.44,99.44
42.0,278.73,34.65
41.22,66.76,37.16
32.92,299.9,43.11
33.02,51.46,98.03
34.95,231.46,99.06
20.26,67.02,83.59
42.43,24.25,70.32
27.56,262.48,61.61
26.49,257.63,97.65
30.57,121.07,75.65
16.41,210.72,95.58
19.99,167.12,45.32
37.14,255.89,46.7
17.48,94.52,88.38
33.09,157.1,31.99
22.36,145.61,95.67
26.68,106.17,60.6
23.66,267.44,94.11
25.67,49.76,46.94
36.57,44.85,77.28
23.91,173.07,58.63
31.99,197.25,70.14
29.28,58.39,60.35
34.91,117.22,97.37
43.1,283.97,75.37
36.98,73.99,40.11
21.45,200.51,92.77
15.94,222.04,43.52
22.87,134.44,49.73
32.85,281.26,28.17
16.54,221.0,92.0
29.89,137.38,42.89
32.91,170.8,40.71
25.03,207.78,93.62
38.13,177.66,84.44
18.2,263.61,31.29
17.25,107.07,81.55
36.85,89.97,93.04
29.86,64.15,26.28
35.65,11.33,86.02
28.04,12.9,63.79
22.39,261.02,73.54
39.57,203.52,59.43
38.98,198.16,75.82
35.84,184.39,22.73
23.16,254.77,81.02
32.71,144.08,22.67
25.83,261.12,56.42
17.75,107.83,32.08
42.52,278.01,85.89
19.1,209.6,45.09
43.51,77.15,56.33
28.38,169.23,54.3
20.55,159.91,81.8
31.26,41.37,58.49
41.19,177.37,83.12
36.97,94.44,25.88
39.2,15.7,35.33
34.76,284.6,64.12
35.77,192.45,95.77
40.48,263.08,25.98
22.49,202.82,23.45
29.68,107.1,32.52
21.64,153.81,71.29
44.63,202.72,51.92
43.32,288.08,86.04
16.18,76.1,25.75
36.17,262.49,35.71
42.76,277.22,44.0
20.42,201.12,70.14
32.04,279.38,74.81
42.46,119.36,29.94
16.02,285.9,95.5
35.92,210.83,47.28
23.92,12.6,77.05
42.73,272.06,61.94
44.13,145.34,37.82
43.33,138.1,87.7
29.23,169.94,85.46
40.86,44.82,51.69
40.34,140.75,67.09
24.57,249.34,40.63
39.87,4.64,75.19
16.11,81.88,44.72
32.89,0.74,87.53
21.9,124.71,37.39
18.62,218.49,21.18
17.31,239.63,41.48
35.89,283.56,35.28
25.2,182.55,60.66
36.74,76.39,36.3
16.96,277.24,81.06
24.46,232.59,39.31
31.18,172.33,76.56
38.72,208.69,66.28
24.56,277.29,98.9
33.78,213.72,99.99
41.58,110.51,89.56
33.48,213.91,80.8
21.99,12.08,50.92
15.73,115.92,80.26
41.1,121.9,96.53
15.64,50.05,21.87
41.24,6.93,63.03
30.87,40.01,37.44
43.17,196.39,64.63
38.96,240.69,57.32
44.94,296.46,66.06
25.52,103.91,64.08
38.02,179.81,96.81
27.06,281.14,64.17
29.4,50.11,87.7
33.83,215.29,45.59
41.21,226.49,55.05
44.52,26.69,57.63
38.05,258.37,42.3
27.53,243.93,50.38
27.64,10.02,67.88
37.13,27.33,66.42
22.16,14.74,70.91
18.31,100.42,48.15
25.64,152.79,45.27
23.62,159.7,68.93
23.89,80.3,30.63
22.01,273.48,40.24
16.26,110.48,23.37
15.54,13.67,25.81
44.63,90.07,39.47
27.83,159.33,21.56
26.53,122.47,39.63
35.39,82.15,72.4
21.55,39.4,24.89
43.5,245.75,54.94
38.59,298.84,93.05
17.68,98.86,83.3
27.53,114.49,44.44
41.37,185.41,93.98
43.34,215.53,46.37
29.02,117.61,25.8
33.4,271.48,99.52
20.01,168.0,89.6
44.74,135.12,57.27
21.95,194.0,73.31
43.28,285.84,73.7
34.49,238.37,35.56
33.23,12.0,36.0
30.38,99.69,57.57
21.92,141.16,92.93
20.3,94.36,20.8
21.61,210.06,82.6
20.59,247.88,24.6
38.39,219.4,58.26
25.5,296.8,71.03
16.74,81.76,74.94
44.07,262.5,24.68
41.51,229.99,53.49
42.83,108.65,66.71
44.85,220.24,25.28
20.22,31.22,30.81
26.89,236.8,73.09
37.75,159.7,61.73
35.88,87.69,32.95
19.62,196.73,62.82
39.47,192.49,93.02
21.73,62.85,21.25
21.71,9.12,71.41
31.11,130.09,25.89
32.79,170.85,20.52
32.4,262.98,32.05
17.74,278.47,53.83
41.32,158.64,84.19
22.97,226.14,42.54
18.89,131.79,70.05
41.66,223.82,52.89
43.67,61.44,38.75
40.86,111.32,61.14
39.29,190.27,83.8
34.66,5.45,86.6
31.53,216.74,87.72
17.61,250.66,47.08
27.25,119.74,83.48
26.18,134.38,36.97
22.79,255.38,79.07
36.7,232.7,95.87
29.88,86.44,21.1
17.43,97.19,55.23
21.61,203.66,71.82
35.5,168.96,76.14
17.28,48.67,34.09
40.54,92.98,97.77
29.85,269.99,69.22
29.42,206.45,33.15
32.77,295.79,21.64
39.74,230.1,82.66
25.43,282.59,26.38
35.34,64.86,31.28
31.97,231.45,65.99
23.01,6.07,68.28
41.36,201.23,74.95
38.92,140.78,51.48
34.75,104.03,81.91
40.52,258.72,97.95
41.02,256.28,41.69
36.25,6.69,76.24
40.11,182.85,94.28
35.92,110.35,74.9
35.4,124.7,74.49
33.56,249.61,37.9
37.58,92.95,62.81
19.76,282.91,65.0
41.43,53.89,76.01
41.16,198.82,99.75
15.88,201.63,22.69
39.77,75.66,25.22
18.87,97.43,26.24
25.05,250.44,79.44
37.31,228.54,30.91
